size_kbytes rate
8066.2 1244.663
12171.4 1211.121
6189.55 1222.657
9640.57 1237.020
12667.5 1220.190
133.328 201.199
2929.14 489.108
481.914 526.093
134.023 1166.817
549.288 826.644
23239.2 483.970
2057.49 1241.536
19567.3 676.045
1156.82 1083.443
7814.6 1169.438
7218.54 637.250
20040.1 1231.368
1995.32 504.005
707.248 1284.518
10941.4 1220.061
3967.75 1210.780
8140.02 1252.950
1607.83 1229.735
2653.11 668.245
1681.36 1231.535
2627.21 1197.273
2547.09 491.071
1820.42 1269.392
8738.44 1239.408
9564.33 495.775
10355.8 1227.142
908.223 1393.953
821.25 1156.302
225.273 457.238
310.82 614.111
3886.98 1234.364
11894.5 1240.432
2551.08 1274.643
4424.2 495.299
2833.76 1217.491
1332.19 485.647
2290.6 1187.359
8646.61 164.065
2870.88 1238.086
6048.96 1242.358
4586.44 493.434
8101.19 497.692
14534.3 788.564
9326.61 490.141
1828.21 489.166
20299.7 736.942
2595.62 1217.024
10345 1223.034
5333.79 1237.695
3324.34 1217.115
8632.48 1252.953
2473.56 498.420
3277.94 1114.880
4874.36 1251.496
6513.06 489.966
4971.7 499.418
2368.01 1249.330
1143.98 1303.762
420.605 512.439
6564.82 1254.843
2337.01 490.502
11174.2 708.824
1508.98 493.450
245.234 569.018
3466.59 838.769
5986.61 1231.862
2493.58 1198.864
2612.43 1288.499
11907.6 736.047
1557.6 496.626
11467.2 403.042
1207.64 1154.104
1772.99 495.770
11.4062 581.474
6064.02 493.377
3025 495.756
2295.02 1306.144
554.99 1185.582
171.094 1232.188
9541.63 1235.737
2880.45 494.826
3120.29 1230.362
9318.96 1247.246
6018.6 1240.487
14425.2 1241.950
1574.06 1022.512
661.685 1408.745
1661.68 1320.406
23519.4 1221.559
6385.63 1210.407
8661.32 1247.561
6388.04 490.413
8967.64 662.429
19502.6 669.533
2474.3 1266.190
12065.1 158.244
5774.36 1256.117
7760.34 1266.090
21977.2 883.390
10788.6 6166.738
3415.4 683.955
12532.5 1230.089
11272.5 1241.823
1677.05 506.088
1660.11 486.553
11212.3 492.434
7739.88 903.040
1254.09 1378.002
9035.66 826.963
13385.2 1238.367
5177.1 492.303
20077.9 492.596
1139.85 1347.241
4698.04 497.747
10395.9 1234.385
10089.1 1238.574
910.933 1280.995
14226.3 491.626
4044.17 798.040
24146.7 1167.167
23837.9 812.488
3163.58 1218.558
10745.1 1220.247
1203.8 1386.326
10025.7 660.974
21064.8 1071.608
19579.7 1234.317
151.133 497.405
1918.97 505.039
944.844 1488.898
1030.84 1076.925
1006.6 1194.333
25.6641 251.120
11621.7 1230.815
13997.7 1228.895
10975.6 497.197
211.494 1047.544
14302.4 1231.791
2383.13 489.092
3458.6 1308.552
1517.03 1335.068
1836.71 719.392
340.25 1725.920
7505.89 1233.530
23976.3 1129.900
3630.91 497.317
14824.6 491.924
12223.4 830.253
1273.34 837.668
7418.82 494.959
4480.31 1273.288
1743.02 1389.141
1782.28 1257.117
2068.26 497.292
2200.77 1322.658
18816.5 672.148
793.268 501.370
8051.99 409.140
7150.31 1261.472
8930.34 1233.116
1787.8 504.819
24136.7 1231.890
8114.2 386.876
2852.14 1261.442
8131.97 354.602
4198.87 658.780
13930.2 489.886
18968.9 491.762
21.3867 263.006
4523.81 1220.299
7728.53 658.538
1407.84 1399.537
1504.7 502.631
7427.68 1253.453
5565.66 1205.630
1974.78 1293.104
24132.4 1154.389
5431.44 1255.175
14432.6 656.800
173.926 229.284
669.053 526.493
534.668 877.531
1921.18 498.799
7099.34 1229.380
5201.49 1241.577
1136.03 1399.145
19658.6 672.986
3349.81 488.669
21191 1229.238
2795.47 1278.978
1844.18 497.873
